안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
수정태평1-A-17,01,05,리틀플러스어린이집 부근,경기도 성남시 수정구 성남대로1250번길 11-2 (태평동),경기도 성남시 수정구 태평1동 6151-7,37.4418561792,127.1288435281,03,N,N,Y,경보등 + 경보음 + CCTV,2016,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-1,01,05,.,경기도 성남시 수정구 수정남로84번길 24-1 (신흥동),경기도 성남시 수정구 신흥1동 6497,37.4396116956,127.1379021256,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-2,01,05,송아리어린이놀이터 부근,경기도 성남시 수정구 탄리로16번길 3-8 (신흥동),경기도 성남시 수정구 신흥1동 6598,37.4389699983,127.1396298120,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-3,01,05,한마음교회 사거리,경기도 성남시 수정구 시민로163번길 19 (신흥동),경기도 성남시 수정구 신흥1동 5095,37.4419686322,127.1410929750,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-4,01,05,.,경기도 성남시 수정구 산성대로225번길 16 (신흥동),경기도 성남시 수정구 신흥1동 4326,37.4398323356,127.1418800276,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-5,01,05,복지회관 삼거리,경기도 성남시 수정구 탄리로52번길 32 (신흥동),경기도 성남시 수정구 신흥1동 4900,37.4408884599,127.1402095970,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-6,01,05,.,경기도 성남시 수정구 시민로145번길 16-14 (신흥동),경기도 성남시 수정구 신흥1동 4669,37.4410484326,127.1420969751,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-7,01,05,성남주유소 사거리,경기도 성남시 수정구 산성대로 241 (신흥동),경기도 성남시 수정구 신흥1동 4224,37.4398568082,127.1440383223,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-8,01,05,국제부동산앞 사거리,경기도 성남시 수정구 수정로154번길 8 (신흥동),경기도 성남시 수정구 신흥1동 5544-1,37.4417477348,127.1373183620,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-9,01,05,앞 삼거리,경기도 성남시 수정구 탄리로52번길 12 (신흥동),경기도 성남시 수정구 신흥1동 6077,37.4408008604,127.1380398604,03,N,N,Y,경보등 + 경보음 + CCTV,2012,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-10,01,05,.,경기도 성남시 수정구 수정로180번길 3 (신흥동),경기도 성남시 수정구 신흥1동 5514,37.4429159056,127.1400437989,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-11,01,05,.,경기도 성남시 수정구 산성대로215번길 7 (신흥동),경기도 성남시 수정구 신흥1동 6926,37.4388604604,127.1408499680,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-12,01,05,.,경기도 성남시 수정구 탄리로30번길 15-1 (신흥동),경기도 성남시 수정구 신흥1동 6284,37.4395826260,127.1396761254,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정신흥1-A-13,01,05,.,경기도 성남시 수정구 수정남로132번길 25 (신흥동),경기도 성남시 수정구 신흥1동 4579,37.4409122681,127.1429555148,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
분당분당-A-37,01,05,맹산공원내 화장실,,경기도 성남시 분당구 분당동 64-1,37.3692308281,127.1327070885,03,N,N,Y,경보등 + 경보음 + CCTV,2016,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-7,01,01,희망대공원 화장실 부근,경기도 성남시 수정구 공원로370번길 26 (신흥동),경기도 성남시 수정구 신흥2동 2344,37.4469393651,127.1508434072,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-8,01,05,희망대공원 사잇길,"경기도 성남시 수정구 공원로 360 (신흥동, 두산아파트)",경기도 성남시 수정구 신흥2동 2024,37.4449138081,127.1494833593,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-9,01,05,청소년수련관 앞,경기도 성남시 수정구 희망로533번길 24-2 (신흥동),경기도 성남시 수정구 신흥2동 477,37.4491935923,127.1494578063,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-10,01,05,성남신흥초등학교 후문,"경기도 성남시 수정구 수정로251번길 32 (신흥동, 신원빌리지)",경기도 성남시 수정구 신흥2동 76-1,37.4492460253,127.1433778916,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-11,01,05,.,경기도 성남시 수정구 수정로251번길 8-1 (신흥동),경기도 성남시 수정구 신흥2동 110-3,37.4474964960,127.1447081245,03,N,N,Y,경보등 + 경보음 + CCTV,2012,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-12,01,05,사거리,경기도 성남시 수정구 수정로312번길 36 (신흥동),경기도 성남시 수정구 신흥2동 360,37.4495783535,127.1515944831,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-13,01,05,희망유치원 주변,경기도 성남시 수정구 희망로 531 (신흥동),경기도 성남시 수정구 신흥2동 137,37.4505247564,127.1513138229,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-14,01,05,사거리,경기도 성남시 수정구 희망로509번길 15 (신흥동),경기도 성남시 수정구 신흥2동 2346,37.4483251542,127.1522361601,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-15,01,05,.,경기도 성남시 수정구 수정로274번길 20 (신흥동),경기도 성남시 수정구 신흥2동 1408,37.4480787766,127.1474892626,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-16,01,05,사거리,경기도 성남시 수정구 수정남로 194-1 (신흥동),경기도 성남시 수정구 신흥2동 1564,37.4468545763,127.1465376404,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-17,01,05,.,경기도 성남시 수정구 희망로533번길 64 (신흥동),경기도 성남시 수정구 신흥2동 1254,37.4461322048,127.1478245367,03,N,N,Y,경보등 + 경보음 + CCTV,2014,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-18,01,05,희망대초등학교,경기도 성남시 수정구 공원로370번길 29 (신흥동),경기도 성남시 수정구 신흥2동 1232,37.4467168394,127.1486506204,03,N,N,Y,경보등 + 경보음 + CCTV,2014,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-19,01,05,맞은편 전주,경기도 성남시 수정구 수정남로248번길 9 (신흥동),경기도 성남시 수정구 신흥2동 196-6,37.4505534815,127.1499577185,03,N,N,Y,경보등 + 경보음 + CCTV,2015,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-20,01,05,.,"경기도 성남시 수정구 수정로251번길 22-1 (신흥동, 신원빌리지)",경기도 성남시 수정구 신흥2동 80,37.4485786945,127.1438738898,03,N,N,Y,경보등 + 경보음 + CCTV,2016,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-21,01,01,정다움어린이놀이터 내부,경기도 성남시 수정구 수정로279번길 3 (신흥동),경기도 성남시 수정구 신흥2동 37,37.4495229130,127.1454013222,03,N,N,Y,경보등 + 경보음 + CCTV,2016,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-22,01,05,.,경기도 성남시 수정구 공원로382번길 42 (신흥동),경기도 성남시 수정구 신흥2동 1125,37.4489429173,127.1481576907,03,N,N,Y,경보등 + 경보음 + CCTV,2017,20180510,Y,성남시청,031-729-4562,20180426
수정신흥2-A-23,01,05,.,경기도 성남시 수정구 수정남로 224 (신흥동),경기도 성남시 수정구 신흥2동 1013,37.4494123231,127.1474353233,03,N,N,Y,경보등 + 경보음 + CCTV,2017,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-1,01,05,.,,경기도 성남시 수정구 신흥3동 4124,37.4412234838,127.1464025768,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-2,01,05,국민은행앞,경기도 성남시 수정구 산성대로 255 (신흥동),경기도 성남시 수정구 신흥3동 4194,37.4404408174,127.1454066978,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-3,01,05,중부교회앞 노상,경기도 성남시 수정구 수정남로150번길 16 (신흥동),경기도 성남시 수정구 신흥3동 3755,37.4424153767,127.1442691303,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-4,01,01,샛고개 어린이놀이터 앞,,경기도 성남시 수정구 신흥3동 3429,37.4448292005,127.1449856023,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-5,01,05,동사무소뒤 어린이놀이터,경기도 성남시 수정구 공원로349번길 8 (신흥동),경기도 성남시 수정구 신흥3동 2819,37.4434730628,127.1487912317,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-6,01,05,성남우체국 옆,경기도 성남시 수정구 산성대로 301 (신흥동),경기도 성남시 수정구 신흥3동 2482,37.4423276186,127.1497382167,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-7,01,05,.,경기도 성남시 수정구 시민로164번길 21 (신흥동),경기도 성남시 수정구 신흥3동 3583,37.4436669390,127.1449608038,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-8,01,05,제3경로당 인근,경기도 성남시 수정구 시민로 172 (신흥동),경기도 성남시 수정구 신흥3동 3436-17,37.4434441165,127.1429263331,03,N,N,Y,경보등 + 경보음 + CCTV,2009,20180510,Y,성남시청,031-729-4562,20180426
8522,01,05,어연버스정류장 옆 삼거리,경기도 평택시 청북읍 청원로 382,경기도 평택시 청북읍 어연리 732-22번지,37.0472000000,126.9716000000,03,N,N,N,CCTV,2018,20220530,Y,평택시청,031-8024-5295,20220530
8510,01,05,농구장 주변,,경기도 평택시 장당동 637-9,37.0515000000,127.0665000000,03,N,N,N,CCTV,2018,20220530,Y,평택시청,031-8024-5295,20220530
8518,01,05,승리빌 인근 삼거리,경기도 평택시 장당길 91,경기도 평택시 장당동 643-5번지,37.0523000000,127.0627000000,03,N,N,N,CCTV,2018,20220530,Y,평택시청,031-8024-5295,20220530
8505,01,05,삼성빌라 입구 앞,경기도 평택시 조개터로2번길 87-4,경기도 평택시 합정동 931-5번지,36.9872000000,127.1042000000,03,N,N,N,CCTV,2018,20220530,Y,평택시청,031-8024-5295,20220530
8495,01,05,인광3리 다목적회관 앞 사거리,경기도 평택시 현덕면 인광3길 83,경기도 평택시 현덕면 인광리 252-2번지,36.9669000000,126.9276000000,03,N,N,N,CCTV,2018,20220530,Y,평택시청,031-8024-5295,20220530
8491,01,05,주택 옆 사거리,경기도 평택시 현덕면 인광4길 21,경기도 평택시 현덕면 인광리 216-5번지,36.9726000000,126.9239000000,03,N,N,N,CCTV,2018,20220530,Y,평택시청,031-8024-5295,20220530
8485,01,05,마을진입로 도로변,,경기도 평택시 현덕면 신왕리 321-2,36.9388000000,126.9681000000,03,N,N,N,CCTV,2018,20220530,Y,평택시청,031-8024-5295,20220530
8478,01,05,덕목4리표지석 앞 사거리,,경기도 평택시 현덕면 덕목리 659-5,36.9508000000,126.9564000000,03,N,N,N,CCTV,2018,20220530,Y,평택시청,031-8024-5295,20220530
8472,01,05,주택 앞 삼거리,,경기도 평택시 현덕면 기산리 산 40-11,36.9374000000,126.9188000000,03,N,N,N,CCTV,2018,20220530,Y,평택시청,031-8024-5295,20220530
8468,01,05,백두공사 앞 사거리,경기도 평택시 현덕면 기산1길 131,경기도 평택시 현덕면 기산리 103-5번지,36.9502000000,126.9177000000,03,N,N,N,CCTV,2018,20220530,Y,평택시청,031-8024-5295,20220530
생활-2018-24,01,05,미라보아파트 앞 사거리,,경기도 남양주시 금곡동 404-219,37.6362497800,127.2081935000,03,N,N,N,,2018,20191201,Y,남양주시청,031-590-4302,20200128
생활-2018-26,01,05,군장리 마을회관 앞,,경기도 남양주시 금곡동 754-12,37.6326952000,127.2004235000,03,N,N,N,,2018,20191201,Y,남양주시청,031-590-4302,20200128
8461,01,05,방축2리 진입로 삼거리,,경기도 평택시 포승읍 방림리 678-3,36.9607000000,126.8970000000,03,N,N,N,CCTV,2018,20220530,Y,평택시청,031-8024-5295,20220530
수정신흥3-A-9,01,05,앞도담도담어린이집 앞,경기도 성남시 수정구 산성대로269번길 26 (신흥동),경기도 성남시 수정구 신흥3동 2778,37.4428550728,127.1457615821,03,N,N,Y,경보등 + 경보음 + CCTV,2012,20180510,Y,성남시청,031-729-4562,20180426
수정태평1-A-18,01,05,.,경기도 성남시 수정구 성남대로 1290-1 (태평동),경기도 성남시 수정구 태평1동 5202,37.4449393567,127.1271875224,03,N,N,Y,경보등 + 경보음 + CCTV,2017,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-1,01,01,꿈나무 어린이놀이터,,경기도 성남시 수정구 태평2동 2991,37.4467144102,127.1354061171,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-2,01,01,늘푸른 어린이놀이터,,경기도 성남시 수정구 태평2동 3307-85,37.4466035930,127.1377903801,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-3,01,05,.,경기도 성남시 수정구 태평로74번길 21-1 (태평동),경기도 성남시 수정구 태평2동 975,37.4479665577,127.1356230437,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-4,01,05,성남교회 부근,경기도 성남시 수정구 탄리로96번길 11 (태평동),경기도 성남시 수정구 태평2동 3228,37.4447763599,127.1362050330,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-5,01,05,.,경기도 성남시 수정구 수정로171번길 15 (태평동),경기도 성남시 수정구 태평2동 3365-1,37.4440533782,127.1381248127,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-6,01,05,진성주차장 부근,경기도 성남시 수정구 수정북로 66 (태평동),경기도 성남시 수정구 태평2동 3485,37.4430549149,127.1366765880,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-7,01,05,신도양버스종점 부근,경기도 성남시 수정구 태평로74번길 2 (태평동),경기도 성남시 수정구 태평2동 516,37.4496615226,127.1346541342,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-8,01,05,구시청 후문 부근,경기도 성남시 수정구 수정로171번길 10 (태평동),경기도 성남시 수정구 태평2동 3309,37.4446919067,127.1391543040,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-9,01,05,.,경기도 성남시 수정구 남문로101번길 16 (태평동),경기도 성남시 수정구 태평2동 2749,37.4483609271,127.1374545049,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-10,01,05,.,경기도 성남시 수정구 시민로249번길 19-1 (태평동),경기도 성남시 수정구 태평2동 1347,37.4491355927,127.1376254094,03,N,N,Y,경보등 + 경보음 + CCTV,2012,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-11,01,05,.,,경기도 성남시 수정구 태평2동 2990,37.4467765396,127.1362424842,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-12,01,05,.,,경기도 성남시 수정구 태평2동 874,37.4486071651,127.1348218008,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-13,01,05,.,경기도 성남시 수정구 탄리로132번길 4 (태평동),경기도 성남시 수정구 태평2동 3166-1,37.4473017100,127.1339267408,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-14,01,05,.,경기도 성남시 수정구 태평로82번길 8-1 (태평동),경기도 성남시 수정구 태평2동 483,37.4493809732,127.1357611566,03,N,N,Y,경보등 + 경보음 + CCTV,2015,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-15,01,05,.,"경기도 성남시 수정구 남문로90번길 14 (태평동, 성문아트빌라)",경기도 성남시 수정구 태평2동 3273-2,37.4454962388,127.1370199522,03,N,N,Y,경보등 + 경보음 + CCTV,2015,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-16,01,05,육거리,"경기도 성남시 수정구 태평로78번길 8 (태평동, 영헌맨션빌라)",경기도 성남시 수정구 태평2동 513,37.4493548047,127.1349926312,03,N,N,Y,경보등 + 경보음 + CCTV,2015,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-17,01,05,.,경기도 성남시 수정구 수정로 175 (태평동),경기도 성남시 수정구 태평2동 7288-6,37.4433583887,127.1391857866,03,N,N,Y,경보등 + 경보음 + CCTV,2015,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-18,01,05,.,경기도 성남시 수정구 남문로111번길 3 (태평동),경기도 성남시 수정구 태평2동 2645,37.4476387842,127.1386285058,03,N,N,Y,경보등 + 경보음 + CCTV,2016,20180510,Y,성남시청,031-729-4562,20180426
수정태평2-A-19,01,05,.,,경기도 성남시 수정구 태평2동 1257,37.4496049342,127.1369029742,03,N,N,Y,경보등 + 경보음 + CCTV,2017,20180510,Y,성남시청,031-729-4562,20180426
